feat_mode	scenario	model	variant	accuracy	precision	recall	f1	auc
orig_stats	Original	ExtraTrees	grid_best_fold3	0.73000	0.63636	0.58333	0.60870	0.81836
orig_stats	Original	ExtraTrees	grid_best_fold4	0.60000	0.43750	0.38889	0.41176	0.72027
orig_stats	Original	ExtraTrees	grid_best_fold5	0.67000	0.54545	0.50000	0.52174	0.77322
orig_stats	Original	ExtraTrees	grid_best_fold6	0.66000	0.53846	0.38889	0.45161	0.76823
orig_stats	Original	ExtraTrees	grid_best_fold7	0.64000	0.50000	0.50000	0.50000	0.71463
orig_stats	Original	ExtraTrees	grid_best_fold8	0.69000	0.56098	0.63889	0.59740	0.77799
orig_stats	Original	ExtraTrees	grid_best_fold9	0.72000	0.61111	0.61111	0.61111	0.76150
orig_stats	Original	GaussianNB	grid_best_fold1	0.54000	0.43210	1.00000	0.60345	0.65385
orig_stats	Original	GaussianNB	grid_best_fold10	0.59000	0.46667	0.97222	0.63063	0.69401
orig_stats	Original	GaussianNB	grid_best_fold2	0.56000	0.44156	0.97143	0.60714	0.65802
orig_stats	Original	GaussianNB	grid_best_fold3	0.62000	0.48571	0.94444	0.64151	0.71007
orig_stats	Original	GaussianNB	grid_best_fold4	0.64000	0.50000	1.00000	0.66667	0.72656
orig_stats	Original	GaussianNB	grid_best_fold5	0.70000	0.54545	1.00000	0.70588	0.76562
orig_stats	Original	GaussianNB	grid_best_fold6	0.68000	0.53125	0.94444	0.68000	0.76562
orig_stats	Original	GaussianNB	grid_best_fold7	0.62000	0.48649	1.00000	0.65455	0.70312
orig_stats	Original	GaussianNB	grid_best_fold8	0.57000	0.45333	0.94444	0.61261	0.65017
orig_stats	Original	GaussianNB	grid_best_fold9	0.61000	0.47826	0.91667	0.62857	0.69727
orig_stats	Original	GradientBoosting	grid_best_fold1	0.59000	0.42500	0.48571	0.45333	0.65209
orig_stats	Original	GradientBoosting	grid_best_fold10	0.57000	0.40000	0.38889	0.39437	0.67708
orig_stats	Original	GradientBoosting	grid_best_fold2	0.65000	0.50000	0.51429	0.50704	0.68791
orig_stats	Original	GradientBoosting	grid_best_fold3	0.74000	0.69231	0.50000	0.58065	0.81098
orig_stats	Original	GradientBoosting	grid_best_fold4	0.68000	0.57692	0.41667	0.48387	0.75629
orig_stats	Original	GradientBoosting	grid_best_fold5	0.67000	0.54839	0.47222	0.50746	0.72092
orig_stats	Original	GradientBoosting	grid_best_fold6	0.67000	0.55172	0.44444	0.49231	0.75651
orig_stats	Original	GradientBoosting	grid_best_fold7	0.65000	0.51515	0.47222	0.49275	0.70486
orig_stats	Original	GradientBoosting	grid_best_fold8	0.64000	0.50000	0.55556	0.52632	0.71918
orig_stats	Original	GradientBoosting	grid_best_fold9	0.73000	0.62857	0.61111	0.61972	0.77517
orig_stats	Original	HistGradientBoosting	grid_best_fold1	0.55000	0.39130	0.51429	0.44444	0.60967
orig_stats	Original	HistGradientBoosting	grid_best_fold10	0.63000	0.48718	0.52778	0.50667	0.70833
orig_stats	Original	HistGradientBoosting	grid_best_fold2	0.64000	0.48571	0.48571	0.48571	0.67385
orig_stats	Original	HistGradientBoosting	grid_best_fold3	0.74000	0.65625	0.58333	0.61765	0.79774
orig_stats	Original	HistGradientBoosting	grid_best_fold4	0.66000	0.53125	0.47222	0.50000	0.72700
orig_stats	Original	HistGradientBoosting	grid_best_fold5	0.63000	0.48485	0.44444	0.46377	0.74566
orig_stats	Original	HistGradientBoosting	grid_best_fold6	0.66000	0.53846	0.38889	0.45161	0.73872
orig_stats	Original	HistGradientBoosting	grid_best_fold7	0.65000	0.51613	0.44444	0.47761	0.74219
orig_stats	Original	HistGradientBoosting	grid_best_fold8	0.64000	0.50000	0.58333	0.53846	0.69922
orig_stats	Original	HistGradientBoosting	grid_best_fold9	0.73000	0.62162	0.63889	0.63014	0.77995
orig_stats	Original	KNN	grid_best_fold1	0.57000	0.40476	0.48571	0.44156	0.55055
orig_stats	Original	KNN	grid_best_fold10	0.61000	0.45714	0.44444	0.45070	0.66211
orig_stats	Original	KNN	grid_best_fold2	0.67000	0.52778	0.54286	0.53521	0.68110
orig_stats	Original	KNN	grid_best_fold3	0.64000	0.50000	0.47222	0.48571	0.60330
orig_stats	Original	KNN	grid_best_fold4	0.64000	0.50000	0.38889	0.43750	0.58507
orig_stats	Original	KNN	grid_best_fold5	0.67000	0.54545	0.50000	0.52174	0.73416
orig_stats	Original	KNN	grid_best_fold6	0.67000	0.54839	0.47222	0.50746	0.62674
orig_stats	Original	KNN	grid_best_fold7	0.57000	0.39394	0.36111	0.37681	0.63845
orig_stats	Original	KNN	grid_best_fold8	0.67000	0.54839	0.47222	0.50746	0.68251
orig_stats	Original	KNN	grid_best_fold9	0.70000	0.57143	0.66667	0.61538	0.75260
orig_stats	Original	LR	grid_best_fold1	0.66000	0.51282	0.57143	0.54054	0.73319
orig_stats	Original	LR	grid_best_fold10	0.66000	0.52778	0.52778	0.52778	0.70833
